startup_name,accelerator,cohort
Bitskout,Berkeley SkyDeck,2024
SpeedLegal,Berkeley SkyDeck,2024
Pickaxe,Berkeley SkyDeck,2024
Rescope,Berkeley SkyDeck,2024
Scam AI,Berkeley SkyDeck,2024
DataRobot,Techstars,2012
SendGrid,Techstars,2009
DigitalOcean,Techstars,2012
Outreach,Techstars,2014
Classpass,Techstars,2013
