region,n_early,ai_early,n_late,ai_late,share_early,share_late,change_pp,world_ai_early,world_ai_late
Africa,3652,194,1581,205,5.31,12.97,7.66,0.7,0.62
East Asia,23754,2925,8472,2127,12.31,25.11,12.8,10.59,6.46
Europe,84224,6105,26262,5617,7.25,21.39,14.14,22.11,17.07
Latin America,14473,901,3976,770,6.23,19.37,13.14,3.26,2.34
Middle East,9496,1017,4845,1197,10.71,24.71,14.0,3.68,3.64
North America,137033,12436,64911,18965,9.08,29.22,20.14,45.04,57.64
Oceania,9604,512,2710,437,5.33,16.13,10.8,1.85,1.33
Other,10789,956,3631,953,8.86,26.25,17.39,3.46,2.9
South & Southeast Asia,35527,2568,14454,2630,7.23,18.2,10.97,9.3,7.99
