tau,pairs_accepted,pct_accepted,ai_asymmetric_accepted
0.85,784,42.2,215
0.9,778,41.9,215
0.92,776,41.8,215
0.95,773,41.6,215
0.97,768,41.4,215
0.99,767,41.3,215
1.0,767,41.3,215
