bucket,n,founded_year,founded_effective,country,domain,description,categories
Commercial A,650200,98.8,98.8,99.3,99.7,100.0,96.3
Commercial B,281395,100.0,100.0,100.0,99.7,100.0,99.9
Unlisted,56981,8.0,29.6,48.4,38.2,53.1,9.4
