mode,field,answered,correct,acc_given_answered,acc_overall
ESTIMATE,country,350,231,66.0,57.8
ESTIMATE,city,255,36,14.1,9.0
ESTIMATE,founded_year(+-2y),399,159,39.8,39.8
GROUNDED,country,18,13,72.2,3.2
GROUNDED,city,16,1,6.2,0.2
