dropped,n,ai,ai_pct,gap_vs_A,gap_lo,gap_hi,odds_ratio,or_lo,or_hi,gap_vs_B
(none),56981,7323,12.85,6.33,6.05,6.62,2.114,2.059,2.171,8.46
code_host_scan,25072,3657,14.59,8.07,7.63,8.51,2.448,2.361,2.539,10.19
portfolio_or_accelerator,42606,6242,14.65,8.13,7.79,8.47,2.461,2.392,2.532,10.25
public_funder,47050,4839,10.28,3.76,3.49,4.05,1.644,1.593,1.696,5.89
scraped_site,56215,7231,12.86,6.34,6.06,6.63,2.116,2.061,2.174,8.47
