tier,sources,n,novel,ai,novelty_pct,lo,hi,ai_pct
lesser-known portfolio,1,18140,10269,5102,56.6,55.9,57.3,28.1
university programme,6,2894,1613,801,55.7,53.9,57.5,27.7
well-known VC / accelerator,5,12298,3915,5369,31.8,31.0,32.7,43.7
