ai21,ai23,ai25,n,pct
0,0,0,177478,94.38
0,0,1,573,0.3
0,1,0,186,0.1
0,1,1,3295,1.75
1,0,0,3520,1.87
1,0,1,137,0.07
1,1,0,85,0.05
1,1,1,2776,1.48
