cohort,grp,matched_n,exit_pct,closed_pct
2010-15,added_ai,2480,15.3,3.5
2010-15,never_ai,117700,14.5,17.8
2016-21,added_ai,2171,6.2,2.2
2016-21,never_ai,52412,8.7,6.6
pre-2010,added_ai,1096,24.7,6.5
pre-2010,never_ai,85676,29.6,13.7
