genai_term,companies_mentioning_2025,newly_added_since_2023
generative ai,322,282
agents,135,114
llm,112,100
gpt / chatgpt,69,52
copilot,60,47
multimodal,91,33
RAG/prompt,17,16
openai/anthropic,32,13
foundation model,13,11
transformer/diffusion,7,3
