bucket,value,n
cb,b2b,2116
cb,b2c,319
cb,other,245
cb,healthcare,214
cb,ai_for_science,59
cb,consumer,30
hidden,b2b,3504
hidden,other,3041
hidden,b2c,859
hidden,ai_for_science,647
hidden,healthcare,626
hidden,consumer,198
hidden_on_li,b2b,290
hidden_on_li,other,174
hidden_on_li,b2c,66
hidden_on_li,ai_for_science,49
hidden_on_li,healthcare,31
hidden_on_li,consumer,9
pb,b2b,740
pb,healthcare,145
pb,b2c,123
pb,ai_for_science,36
pb,other,16
pb,consumer,3
