sector,total,added_ai,added_pct,washing_pct
Information Technology,194103,4939,2.5,16.0
Healthcare,79424,930,1.2,11.0
Financial Services,27916,196,0.7,15.0
Business Products and Services (B2B),159873,1046,0.7,20.0
Consumer Products and Services (B2C),137253,458,0.3,11.0
Materials and Resources,20117,45,0.2,2.0
Energy,22697,30,0.1,13.0
