yr_int,investments,ai_investments,ai_share_pct
2010,13953,1305,9.4
2011,19488,1953,10.0
2012,25601,2947,11.5
2013,33868,4104,12.1
2014,44324,6272,14.2
2015,57451,8226,14.3
2016,60183,10165,16.9
2017,64917,12204,18.8
2018,73250,13802,18.8
2019,73839,14728,19.9
2020,77820,15395,19.8
2021,122954,22178,18.0
2022,108795,18436,16.9
2023,10988,1539,14.0
