domain,hidden,published,hidden_share_%
Government/Public,596,0,100.0
Productivity/Work,1262,3270,28.0
Robotics/Hardware,75,462,14.0
Developer Tools/Infra,463,2996,13.0
Education,35,244,13.0
Energy/Climate,35,266,12.0
Healthcare,144,1074,12.0
Marketing/Media,129,1055,11.0
Science/Research,33,287,10.0
Retail/Commerce,146,1557,9.0
Finance,29,370,7.0
Manufacturing/Industrial,46,613,7.0
Other,15,247,6.0
Data/Analytics,100,2124,4.0
Security,9,283,3.0
Consumer/Lifestyle,2,143,1.0
