ai_identity_origin,companies,pct
0 AI already in 2023 (<=2023),37638,56.3
1a repackaged: added AI by 2024,4140,6.2
1b repackaged: added AI in 2025,901,1.3
2 new to CB in 2024,17423,26.0
3 new to CB in 2025,6782,10.1
