cohort,companies,added_AI_language_pct,added_genAI_language_pct,mentions_genAI_2025_pct,rewrote_desc_pct
already AI 2023,27314,1.3,1.2,1.8,10.5
repackaged (non-AI 2023),3642,25.5,5.8,6.3,52.1
ALL,30956,4.2,1.8,2.3,15.4
