genai_term,companies_mentioning_2026,newly_added_since_2023
agents,619,598
generative ai,399,363
llm,203,193
copilot,107,93
gpt / chatgpt,106,90
multimodal,138,74
RAG/prompt,53,52
openai/anthropic,62,44
foundation model,21,19
transformer/diffusion,9,5
