country,bucket,n,share_of_bucket_pct
Japan,hidden_on_li,28,1.73
Hungary,hidden,35,0.13
Vietnam,hidden,63,0.24
South Africa,hidden,35,0.13
Brunei,cb,1,0.0
Jordan,hidden,4,0.02
Switzerland,pb,2094,0.74
Bolivia,hidden,1,0.0
Kazakhstan,pb,101,0.04
Romania,cb,205,0.03
Spain,hidden,402,1.55
Tajikistan,cb,1,0.0
Cameroon,cb,146,0.02
Bahrain,cb,15,0.0
Democratic Republic of the Congo,cb,1,0.0
United Kingdom,hidden_on_li,132,8.17
Sweden,hidden_on_li,16,0.99
Czech Republic,hidden_on_li,3,0.19
Nigeria,cb,2347,0.36
Philippines,hidden,23,0.09
Thailand,hidden,23,0.09
Rwanda,cb,4,0.0
Egypt,pb,259,0.09
Isle of Man,cb,2,0.0
MA 02139,hidden,1,0.0
KOLKATA,hidden,1,0.0
Volta street 13,hidden_on_li,1,0.06
Colorado,hidden,1,0.0
Paraguay,hidden,1,0.0
Serbia,cb,663,0.1
Belgium,hidden_on_li,9,0.56
Zimbabwe,cb,4,0.0
Saudi Arabia,pb,508,0.18
España,hidden,3,0.01
SP,hidden,1,0.0
Europe,hidden_on_li,1,0.06
LA,hidden_on_li,1,0.06
Ukraine,cb,2653,0.41
Indonesia,hidden_on_li,11,0.68
Greece,cb,1543,0.24
Dhaka,hidden,1,0.0
Iraq,cb,2,0.0
Morocco,hidden,10,0.04
United States of America,hidden,4,0.02
Egypt,hidden_on_li,3,0.19
Latvia,hidden,11,0.04
China,hidden_on_li,47,2.91
Bosnia & Herzegovina,hidden,1,0.0
Kenya,hidden,179,0.69
Colombia,cb,3402,0.53
Finland,pb,1634,0.58
Karnataka,hidden,6,0.02
Nepal,pb,332,0.12
WB,hidden,1,0.0
Armenia,hidden,5,0.02
Finland,hidden_on_li,9,0.56
Italy,cb,12895,2.0
Guatemala,cb,12,0.0
Uzbekistan,hidden,3,0.01
Thailand,cb,1036,0.16
USA,hidden,17,0.07
Bangladesh,pb,191,0.07
Chile,hidden_on_li,4,0.25
NP,hidden,1,0.0
Israel,hidden_on_li,23,1.42
Slovakia,hidden_on_li,1,0.06
Pisa (Italy),hidden,1,0.0
ROC,hidden,1,0.0
Guernsey,hidden,1,0.0
Taiwan,hidden,47,0.18
