company_type,cohort,seed_entrants,reached_series_B_pct
AI,pre-2010,1276,23.8
AI,2010-2014,4665,19.1
AI,2015-2019,11419,8.9
AI,2020+,4068,1.5
Non-AI,pre-2010,8672,16.3
Non-AI,2010-2014,22756,13.0
Non-AI,2015-2019,32496,7.1
Non-AI,2020+,12090,1.2
