cohort,Business,Engineering,Economics,Finance,Law,Marketing,Education,Accounting,Medicine,Mathematics,Information Technology,Chemistry,Physics,Biology,Architecture
non-AI,44.6,26.6,5.4,4.1,3.3,3.2,2.2,1.6,1.5,1.2,1.3,1.3,1.1,1.2,0.6
AI,40.8,31.7,5.6,3.8,3.1,2.4,1.9,1.4,1.5,1.9,1.1,1.0,1.6,1.0,0.7
