application,bucket,n
b2b,cb,768
b2c,cb,125
other,cb,113
healthcare,cb,76
ai_for_science,cb,19
consumer,cb,12
b2b,hidden,978
b2c,hidden,229
healthcare,hidden,181
other,hidden,131
ai_for_science,hidden,86
consumer,hidden,62
b2b,hidden_on_li,25
b2c,hidden_on_li,8
other,hidden_on_li,4
healthcare,hidden_on_li,3
ai_for_science,hidden_on_li,1
consumer,hidden_on_li,1
b2b,pb,267
healthcare,pb,57
b2c,pb,52
ai_for_science,pb,15
other,pb,7
consumer,pb,1
