founded_year,total,pct_of_peak,est_undercount_pct
2015,54339,100.0,0.0
2016,52697,97.0,3.0
2017,53654,98.7,1.2999999999999972
2018,50820,93.5,6.5
2019,44893,82.6,17.400000000000006
2020,43404,79.9,20.099999999999994
2021,36342,66.9,33.099999999999994
2022,23095,42.5,57.5
2023,18113,33.3,66.7
2024,10817,19.9,80.1
2025,2763,5.1,94.9
