university,all_founders,ai_founders
Harvard University,2322,800
Stanford University,2236,771
Harvard Business School,3073,734
Massachusetts Institute of Technology,2040,688
University of California Berkeley,1394,498
Y Combinator,959,494
Wharton School of Business at University of Pennsylvania,1519,403
Stanford Graduate School of Business,1179,360
INSEAD,1626,353
University of Oxford,1120,336
Tel Aviv University,848,319
University of Cambridge,1091,307
Columbia University in the City of New York,838,264
University of Toronto,882,255
Cornell University,1039,253
London School of Economics and Political Science - University of London,985,251
HEC Paris,970,247
London Business School,867,230
MIT Sloan School of Management,734,220
University of Pennsylvania,770,212
University of California Los Angeles,883,208
Seoul National University,0,191
University of Michigan,0,191
Kellogg School of Management at Northwestern University,892,185
Technical University of Munich,0,180
New York University,780,0
University of Southern California,812,0
Getulio Vargas Foundation - Ṣo Paulo School of Law,724,0
