ai,ai_pct,country,founded_year,total
386,17.3,United Kingdom,2021,2225
316,23.8,United Kingdom,2022,1329
359,38.3,United Kingdom,2023,937
203,42.2,United Kingdom,2024,481
15,25.4,United Kingdom,2025,59
2249,11.1,United States,2015,20252
2540,13.1,United States,2016,19335
2837,14.2,United States,2017,20020
2962,15.5,United States,2018,19134
2885,16.7,United States,2019,17268
3056,17.8,United States,2020,17132
2903,20.2,United States,2021,14387
2813,27.2,United States,2022,10360
4097,44.9,United States,2023,9125
3228,54.0,United States,2024,5978
1231,63.6,United States,2025,1935
