field,n
Computer Science,2233
unknown,1159
Electrical Engineering,556
Economics,394
Mechanical Engineering,371
Computer Engineering,288
Finance,281
Physics,253
Business Administration,218
Mathematics,180
Engineering,172
Business,154
Information Technology,144
Marketing,144
Law,139
Electrical and Electronics Engineering,128
Electrical and Computer Engineering,109
Management,102
Artificial Intelligence,98
International Business,88
