cohort,companies,added_AI_language_pct,added_genAI_language_pct,mentions_genAI_2026_pct,rewrote_desc_pct
already AI 2023,27158,1.9,2.1,2.7,14.0
repackaged (non-AI 2023),8068,29.5,7.9,8.2,53.2
ALL,35226,8.2,3.4,3.9,23.0
