year,n,mean_first_seen,pct_with_funding
2010,41513,2026.0,17.3
2011,40562,2026.0,18.9
2012,44698,2026.0,19.3
2013,45414,2026.0,19.6
2014,50374,2026.0,19.7
2015,54150,2026.0,19.9
2016,52472,2026.0,19.1
2017,53401,2026.0,19.0
2018,50542,2026.0,19.5
2019,44522,2026.0,20.2
2020,43043,2026.0,20.7
2021,35978,2026.0,22.7
2022,22800,2026.0,24.2
2023,17947,2026.0,26.1
2024,10562,2026.0,28.5
2025,2531,2026.0,43.0
2026,16,2026.0,56.3
