category,n
Software & IT,580956
Professional Services,278625
Hardware & Manufacturing,167512
Biotech & Pharma,161797
Data & Analytics,119871
Media & Marketing,109217
Healthcare,84755
E-commerce & Retail,84525
Financial Services,81063
Education,49546
Real Estate,43291
Security & Privacy,40811
Energy & CleanTech,39958
Consumer & Lifestyle,39792
Transportation,37701
Food & AgTech,18803
Social Impact,6359
