classifier,tp,fp,fn,tn,precision,prec_lo,prec_hi,recall,rec_lo,rec_hi,f1,f1_lo,f1_hi
ai_mentioned (keyword),43,27,36,493,0.614,0.5,0.725,0.544,0.435,0.654,0.577,0.479,0.67
ai_score >= 0.5,27,14,52,506,0.659,0.513,0.795,0.342,0.235,0.447,0.45,0.333,0.556
vendor tag,14,11,65,509,0.56,0.36,0.75,0.177,0.096,0.269,0.269,0.154,0.383
llm verdict (where run),21,6,58,514,0.778,0.607,0.929,0.266,0.167,0.368,0.396,0.27,0.513
PIPELINE UNION,65,45,14,475,0.591,0.5,0.681,0.823,0.736,0.9,0.688,0.606,0.759
