tier,sites,runs,ok,found,new_records,mean_seconds,success_rate,records_per_site,new_per_record
easy,12,22,17,49010,11987,109.92639415277777,77.3,4084.2,0.245
hard,275,860,228,44792,4292,234.32036276129438,26.5,162.9,0.096
