raw_name,canonical_name,domain,sim,ai,same_company,labeller
Drip.AI,Drip,dripapp.com.br,1.0,,,
Pair,Pair AI,pairai.com,1.0,True,,
Granular,Granular.ai,granular.ai,1.0,True,,
Flow AI,Flow,enterflow.app,1.0,True,,
AI Build,Build Lab,ai-build.com,1.0,True,,
Avenir AI,Avenir Labs,joinavenir.com,1.0,True,,
Autohub ai,AutoHub,autohub.io,1.0,True,,
Cofi.ai,CoFi,cofisoftware.com,1.0,True,,
Embrace.Ai,Embrace,embrace.io,1.0,True,,
Level AI,Level,trylevel.app,1.0,False,,
Sanas,Sanas.AI,sanas.ai,1.0,True,,
Waydev AI,Waydev,waydev.co,1.0,True,,
Uncharted AI,Uncharted,uncharted.gg,1.0,,,
Factory,Factory AI,f7i.ai,1.0,True,,
Jasper,Jasper.ai,jasper.ai,1.0,True,,
Resolve AI,Resolve,resolvebim.com,1.0,True,,
Multi,Multi AI,multi.ai,1.0,True,,
Rosebud,Rosebud AI,rosebud.ai,1.0,True,,
Seam AI,Seam,seam.co,1.0,True,,
Zuzu,Zuzu AI,zuzu.ai,1.0,True,,
Riley AI,Riley,getrileynow.com,1.0,True,,
Atero,Atero AI,atero.ai,1.0,True,,
AI-Prime,Prime,ai-prime.com,1.0,True,,
Coactive,Coactive AI,coactive.ai,1.0,True,,
DeepMap.ai,DeepMap,deepmap.ai,1.0,True,,
DELV,Delv AI,delv.ai,1.0,True,,
gooddata.ai,GoodData,gooddata.com,1.0,True,,
Hebbia,Hebbia.AI,hebbia.ai,1.0,True,,
Ventrilo,Ventrilo.ai,ventrilo.ai,1.0,True,,
Wabi AI,Wabi,wabi.build,1.0,True,,
Credo AI,Credo,credots.com,1.0,True,,
Smartex,Smartex.ai,smartex.ai,1.0,True,,
Conexus,Conexus AI,conexus.com,1.0,True,,
Cynch,Cynch AI,cynch.ai,1.0,True,,
AI Music,Music Lab,musiclab.co.il,1.0,True,,
Leo AI,LeO,meetleo.co,1.0,True,,
Hailo,Hailo AI,hailo.ai,1.0,True,,
Dunia.ai,Dunia Technology Solutions,duniatech.com,1.0,True,,
Neo,Neo AI,neoai.jp,1.0,True,,
Edvisor.ai,Edvisor.io,edvisor.io,1.0,True,,
Conan,Conan AI,conan.ltd,1.0,True,,
Athenic 2.0,Athenic AI,athenic.com,1.0,True,,
Poseidon,Poseidon AI,psdn.ai,1.0,True,,
Prosper AI,Prosper,getprosper.ai,1.0,True,,
Rollup AI,Rollup,rollup.ai,1.0,True,,
GetVocal AI,GetVocal,getvocal.com,1.0,True,,
Vertikal X,Vertikal AI,vertikal-ai.com,1.0,True,,
Ama AI,AMA Solutions,ama-solutions.com,1.0,True,,
Veer,Veer AI,veer.ai,1.0,True,,
Wobo 2.0,Wobo AI,wobo.ai,1.0,True,,
Xpressive,Xpressive AI,xpressive.ai,1.0,True,,
Wit,Wit.ai,wit.ai,1.0,True,,
Chemical.io,Chemical.AI,chemical.ai,1.0,True,,
Theremin I/O,Theremin.ai,theremin.ai,1.0,True,,
Myth,MYTH AI,myth-ai.com,1.0,True,,
EDI,EDI.ai,edi.ai,1.0,True,,
Voice,Voice AI,voice.ai,1.0,True,,
Team,Team.ai,team.ai,1.0,True,,
Velo,velo.ai,velo.ai,1.0,True,,
Insight AI,Insight Tech,insight-tech.co.jp,1.0,True,,
DeepForge,Deepforge AI,deepforgeai.com,1.0,True,,
Sourcery,Sourcery.AI,sourcery.ai,1.0,True,,
#Startup,Startup AI,startupai.ai,1.0,True,,
Micro,Micro.ai,micro.ai,1.0,True,,
Klart,Klart AI,klartai.com,1.0,True,,
Tomato,Tomato AI,tomatoai.it,1.0,True,,
Enlight,Enlight-AI,enlight.nyc,1.0,True,,
Tara,Tara AI,tara.ai,1.0,True,,
Primo,PRIMO AI,voiceprimo.com,1.0,True,,
Reclaim,Reclaim.ai,reclaim.ai,1.0,True,,
Tact,Tact.ai,tact.ai,1.0,True,,
