country,n
United States,376120
United Kingdom,70329
India,62909
Canada,37341
Germany,31647
China,28966
France,28788
Australia,23084
Japan,22468
Brazil,21135
Netherlands,18027
Italy,16685
Spain,16441
Sweden,11715
Switzerland,11235
South Korea,11104
Singapore,9179
Turkey,8539
Israel,8116
Mexico,7229
United Arab Emirates,7015
Poland,6285
Belgium,6244
Denmark,6170
South Africa,6121
