year,sector,n,ai,ai_share
2020,Food & AgTech,1072,93,8.68
2020,Hardware & Manufacturing,5590,996,17.82
2020,Healthcare,4734,906,19.14
2020,Media & Marketing,4972,682,13.72
2020,Professional Services,11379,1437,12.63
2020,Real Estate,1626,214,13.16
2020,Security & Privacy,1838,250,13.6
2020,Social Impact,352,32,9.09
2020,Software & IT,30225,5967,19.74
2020,Transportation,1700,269,15.82
2021,Biotech & Pharma,7071,3652,51.65
2021,Consumer & Lifestyle,1535,162,10.55
2021,Data & Analytics,6147,3942,64.13
2021,E-commerce & Retail,3147,346,10.99
2021,Education,2139,309,14.45
2021,Energy & CleanTech,1645,188,11.43
2021,Financial Services,6184,753,12.18
2021,Food & AgTech,785,90,11.46
2021,Hardware & Manufacturing,4415,881,19.95
2021,Healthcare,3669,798,21.75
2021,Media & Marketing,3993,575,14.4
2021,Professional Services,8353,1153,13.8
2021,Real Estate,1375,184,13.38
2021,Security & Privacy,1393,252,18.09
2021,Social Impact,239,24,10.04
2021,Software & IT,25188,5408,21.47
2021,Transportation,1441,221,15.34
2022,Biotech & Pharma,4711,2934,62.28
2022,Consumer & Lifestyle,963,146,15.16
2022,Data & Analytics,4257,3114,73.15
2022,E-commerce & Retail,1966,323,16.43
2022,Education,1102,216,19.6
2022,Energy & CleanTech,1004,149,14.84
2022,Financial Services,3911,653,16.7
2022,Food & AgTech,469,55,11.73
2022,Hardware & Manufacturing,2610,645,24.71
2022,Healthcare,2195,621,28.29
2022,Media & Marketing,2277,479,21.04
2022,Professional Services,4764,924,19.4
2022,Real Estate,755,140,18.54
2022,Security & Privacy,812,176,21.67
2022,Social Impact,131,27,20.61
2022,Software & IT,15784,4521,28.64
2022,Transportation,898,169,18.82
2023,Biotech & Pharma,4680,3712,79.32
2023,Consumer & Lifestyle,644,160,24.84
2023,Data & Analytics,4345,3806,87.59
2023,E-commerce & Retail,1406,319,22.69
2023,Education,688,280,40.7
2023,Energy & CleanTech,633,133,21.01
2023,Financial Services,2040,590,28.92
2023,Food & AgTech,278,62,22.3
2023,Hardware & Manufacturing,1793,605,33.74
2023,Healthcare,1676,656,39.14
2023,Media & Marketing,1412,530,37.54
2023,Professional Services,3338,1183,35.44
2023,Real Estate,461,147,31.89
2023,Security & Privacy,516,198,38.37
2023,Social Impact,68,23,33.82
2023,Software & IT,11944,5892,49.33
2023,Transportation,509,146,28.68
2024,Biotech & Pharma,2430,1987,81.77
2024,Consumer & Lifestyle,294,73,24.83
2024,Data & Analytics,2194,1997,91.02
2024,E-commerce & Retail,636,184,28.93
2024,Education,289,144,49.83
2024,Energy & CleanTech,312,75,24.04
2024,Financial Services,1102,410,37.21
2024,Food & AgTech,110,45,40.91
2024,Hardware & Manufacturing,995,441,44.32
2024,Healthcare,1011,489,48.37
2024,Media & Marketing,632,254,40.19
2024,Professional Services,1676,663,39.56
2024,Real Estate,228,106,46.49
2024,Security & Privacy,256,113,44.14
2024,Social Impact,21,6,28.57
2024,Software & IT,6539,3877,59.29
2024,Transportation,285,99,34.74
2025,Biotech & Pharma,182,113,62.09
2025,Consumer & Lifestyle,41,11,26.83
2025,Data & Analytics,107,99,92.52
2025,E-commerce & Retail,99,21,21.21
2025,Education,20,9,45.0
2025,Energy & CleanTech,52,13,25.0
2025,Financial Services,189,54,28.57
2025,Food & AgTech,23,12,52.17
2025,Hardware & Manufacturing,237,93,39.24
2025,Healthcare,233,131,56.22
2025,Media & Marketing,79,35,44.3
2025,Professional Services,318,119,37.42
2025,Real Estate,16,5,31.25
2025,Security & Privacy,18,10,55.56
2025,Social Impact,1,0,0.0
2025,Software & IT,1277,1012,79.25
2025,Transportation,38,15,39.47
