comparison,observed_gap_pp,corrected_gap_pp,lo,hi,p_gap_gt_0
Unlisted - Commercial A,16.58,14.16,4.8,22.45,0.9977
Unlisted - Commercial B,18.43,5.94,-3.08,13.64,0.9137
