channel,n,founded_year,country,domain,description,categories
code-host scan,31909,5.1,37.3,30.5,34.3,0.4
portfolio / accelerator,14375,20.1,35.0,72.5,63.9,36.2
public funder records,9931,0.0,100.0,15.9,100.0,0.0
general web scrape,766,0.7,94.0,3.7,24.5,0.8
