dropped,n,ai,ai_pct,gap_vs_A,gap_vs_B
(none),56981,13579,23.83,11.45,13.17
code_host_scan,25072,5540,22.1,9.71,11.44
portfolio_or_accelerator,42606,10738,25.2,12.82,14.55
public_funder,47050,11095,23.58,11.2,12.93
scraped_site,56215,13364,23.77,11.39,13.12
